<<<<<<< HEAD
885	874
955	764
901	685
362	829
261	950
112	956
412	810
372	794
519	938
470	898
501	947
420	295
240	227
31	526
24	480
242	383
147	240
239	578
303	20
723	208
772	97
775	477
494	523
724	502
405	358
684	344
682	86
474	169
621	295
677	862
737	619
381	145
255	419
225	609
45	557
542	553
879	270
608	220
992	109
804	430
340	771
237	976
284	790
710	861
727	887
190	555
170	694
145	504
992	962
933	988
=======
684	344
621	295
381	145
240	227
474	169
420	295
772	97
608	220
303	20
372	794
362	829
412	810
284	790
340	771
724	502
775	477
682	86
147	240
723	208
879	270
992	109
804	430
255	419
542	553
242	383
145	504
190	555
24	480
31	526
45	557
225	609
494	523
405	358
239	578
261	950
237	976
112	956
470	898
677	862
501	947
170	694
710	861
519	938
727	887
992	962
933	988
885	874
955	764
901	685
737	619
>>>>>>> a5a4b9e4c281bb99dcc8b971e4b9ebcd70501650
